1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
Africa,60.281,52.80065,52.04835,50.3211,45.31075,47.08845,49.8481,48.96775,51.64045,52.8271,55.46138,57.26945,56.3651,55.43482,56.35275,59.7537,62.71335,64.5013,61.91025,72.9482,75.71745,82.7,84.84455,83.79825,88.97019,91.76146,92.93972,96.16929,97.57348,115.554,231.45
Algeria,0.248,0.362,0.474,0.233,0.516,0.639,0.247,0.491,0.181,0.263,0.134,0.29,0.197,0.349,0.164,0.191,0.134,0.074,0.213,0.201,0.053,0.068,0.056,0.262,0.248,0.549,0.216,0.224,0.28,0.31
Angola,0.53,0.53,0.6,0.6,0.6,0.6,0.66,0.66,0.66,0.667,0.718,0.715,0.832,0.881,0.886,0.891,0.916,0.866,1.049,0.885,0.903,1.007,1.132,1.229,1.733,2.197,2.638,3.078,3.804,NA
Benin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0017,0.0017,0.0017,0.0017,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,NA
Botswana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Burkina Faso,0,0,0,0,0,0,0,0,0,0,0.009,0.013,0.02,0.047,0.072,0.094,0.114,0.115,0.078,0.123,0.097,0.053,0.064,0.096,0.10044,0.09947,0.07986,0.1103,0.13457,0.13097
Burundi,0.002,0.002,0.002,0.023,0.039,0.046,0.061,0.094,0.103,0.102,0.107,0.11,0.104,0.108,0.114,0.117,0.117,0.12,0.109,0.097,0.098,0.114,0.126,0.1,0.09,0.099,0.092,0.116,0.206,NA
Cameroon,1.35,1.79,2.028,2.003,2.106,2.295,2.297,2.301,2.489,2.602,2.609,2.642,2.624,2.626,2.661,2.725,2.839,3.061,3.085,3.301,3.408,3.439,3.15,3.493,3.881,3.734,3.853,3.809,4.19,NA
Cape Verde,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0061,0.0061,0.0071,0.0065,NA
Central African Republic,0.066,0.065,0.068,0.064,0.069,0.06,0.076,0.073,0.074,0.074,0.076,0.075,0.077,0.077,0.079,0.08,0.081,0.083,0.081,0.081,0.083,0.082,0.082,0.083,0.083,0.099,0.109,0.129,0.13,NA
Chad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Comoros,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.003,0.004,0.005,0.005,0.005,0.002,0.002,NA
Congo (Brazzaville),0.099,0.102,0.174,0.229,0.248,0.288,0.265,0.275,0.286,0.393,0.485,0.474,0.421,0.355,0.319,0.348,0.451,0.446,0.339,0.25,0.292,0.331,0.392,0.339,0.327,0.351,0.368,0.332,0.371,NA
Congo (Kinshasa),4.199,4.126,4.08,4.432,4.646,4.975,5.204,5.187,5.196,5.836,5.569,5.206,5.993,5.473,5.241,6.097,6.03,4.974,4.662,5.247,5.939,5.914,6.049,6.098,7.007,7.319,7.45,7.747,7.409,NA
Cote dIvoire (IvoryCoast),1.345,1.726,1.731,1.067,0.369,1.344,1.179,1.216,1.227,1.25,1.309,1.242,1.038,1.087,1.162,1.766,1.764,1.86,1.363,1.736,1.746,1.782,1.712,1.916,1.836,1.5275,1.6014,1.8883,1.9911,NA
Djibouti,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Egypt,9.699,10.109,10.365,10.094,9.9,8.019,7.92,8.168,7.821,7.92,9.875,8.545,8.455,10.381,10.63,11.299,11.439,11.867,12.1,15.157,13.69,15.189,12.924,13.239,13.015,13.042,13.381,16.144,15.41944,NA
Equatorial Guinea,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.003,0.003,0.003,0.002,0.002,0.005,0.007,0.007,0.007,0.007,0.003,0.002,NA
Eritrea,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0.001,0.001,0.002,0.002,0.0019,0.0019
Ethiopia,0.473,0.502,0.574,0.623,0.683,0.747,0.821,0.886,0.956,0.994,1.088,1.097,1.127,1.251,1.34,1.414,1.495,1.55,1.588,1.608,1.635,1.973,2.003,2.257,2.496,2.805,3.226,3.351,3.2763,NA
Gabon,0.257,0.408,0.482,0.541,0.604,0.66,0.665,0.668,0.669,0.693,0.701,0.708,0.716,0.711,0.747,0.792,0.771,0.808,0.811,0.83,0.802,0.876,0.921,0.898,0.891,0.813,0.9426,0.7996,0.8916,NA
Gambia, The,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ghana,5.276,5.341,4.941,2.55,1.799,2.996,4.389,4.627,4.811,5.178,5.664,6.075,6.536,6.228,6.033,6.036,6.559,6.782,3.792,5.117,6.544,6.543,4.986,3.846,5.228,5.573,5.563,3.69,6.133,NA
Guinea,0.148,0.148,0.148,0.153,0.155,0.161,0.163,0.165,0.168,0.17,0.173,0.176,0.178,0.18,0.182,0.191,0.195,0.285,0.307,0.391,0.406,0.546,0.589,0.396,0.549,0.489,0.456,0.533,0.5,NA
Guinea-Bissau,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kenya,1.182,1.5427,1.6174,1.86015,1.84985,2.14155,2.2342,2.3209,2.7836,2.93325,3.02158,3.22165,3.2293,3.43007,3.494,3.711,3.902,3.783,3.821,2.984,1.929,3.044,3.75995,4.27995,4.12795,4.25414,4.51173,4.72716,4.24626,NA
Lesotho,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.195,0.288,0.285,0.314,0.325,0.297,0.347,0.198,0.198,0.2,NA
Liberia,0.331,0.314,0.328,0.32,0.223,0.259,0.315,0.316,0.321,0.311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Libya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Madagascar,0.146,0.152,0.226,0.245,0.252,0.255,0.266,0.286,0.3,0.314,0.338,0.332,0.342,0.344,0.347,0.369,0.421,0.45,0.5,0.515,0.54,0.528,0.535,0.604,0.634,0.653,0.594,0.535,0.735,NA
Malawi,0.388,0.379,0.405,0.443,0.464,0.47,0.506,0.558,0.563,0.566,0.697,0.743,0.768,0.771,0.811,0.832,0.846,0.866,0.995,0.962,1.023,1.045,1.093,1.139,1.259,1.316,1.326,1.485,1.451,NA
Mali,0.083,0.082,0.105,0.122,0.133,0.133,0.158,0.16,0.166,0.168,0.181,0.182,0.208,0.218,0.22,0.223,0.21,0.227,0.23,0.23,0.233,0.234,0.236,0.234,0.248,0.255,0.263,0.268,0.275,NA
Mauritania,0.025,0.03,0.038,0.039,0.036,0.031,0.018,0.025,0.025,0.025,0.025,0.025,0.026,0.026,0.028,0.028,0.028,0.03,0.028,0.03,0.032,0.034,0.034,0.041,0.044,0.049,0.051,0.054,0.06,NA
Mauritius,0.082,0.059,0.093,0.035,0.065,0.114,0.109,0.139,0.099,0.147,0.084,0.074,0.112,0.103,0.075,0.134,0.102,0.092,0.104,0.03,0.095,0.07,0.085,0.117,0.121,0.113,0.07587,0.08302,0.1,NA
Morocco,1.487,1.031,0.576,0.476,0.362,0.465,0.625,0.825,0.926,1.145,1.184,1.234,0.954,0.439,0.831,0.605,1.937,2.062,1.759,0.817,0.772,1.058,1.026,1.634,1.781,1.1647,1.1619,1.1711,1.2031,NA
Mozambique,13.409,3.315,2.959,5.01,0.552,0.149,0.038,0.024,0.049,0.05,0.281,0.32,0.322,0.341,0.362,0.375,0.445,0.967,1.487,7.606,9.555,11.723,12.547,10.761,11.551,13.131,14.57,15.902,14.963,NA
Namibia,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,1.12,0.845,0.604,0.982,1.157,1.366,1.356,1.446,1.497,1.586,1.641,1.59,1.56,1.556,NA
Niger,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nigeria,2.724,2.291,2.394,1.856,2.569,2.978,3.594,3.251,3.968,4.099,4.343,5.871,5.998,5.516,5.506,5.445,5.445,5.537,5.717,6.088,5.686,5.85,8.152,7.374,8.027,7.69,6.2,6.165,5.664,NA
Reunion,0.302,0.37,0.422,0.428,0.404,0.483,0.497,0.524,0.418,0.492,0.544,0.456,0.49,0.493,0.493,0.497,0.5,0.539,0.551,0.553,0.554,0.556,0.569,0.572,0.574,0.574,0.574,0.651,0.633,NA
Rwanda,0.111,0.103,0.133,0.151,0.161,0.162,0.149,0.164,0.167,0.171,0.165,0.163,0.17,0.153,0.156,0.158,0.14,0.16,0.16,0.127,0.11,0.088,0.097,0.116,0.083,0.059,0.041,0.033,0.03,NA
Saint Helena,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sao Tome and Principe,0.007,0.007,0.008,0.006,0.008,0.008,0.007,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.007,0.009,0.01,0.004,0.006,0.007,0.006,0.004,0.008,0.01,0.01,NA
Senegal,0.038,0.03895,0.03895,0.03895,0.0399,0.0399,0.0399,0.04085,0.04085,0.04085,0.0418,0.0418,0.0418,0.04275,0.04275,0.0437,0.04465,0.0456,0.04655,0.0475,0.05045,0.059,0.2586,0.3873,0.3329,0.31645,0.2835,0.231,0.2574,NA
Seychelles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sierra Leone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015,0.015,0.016,0.016,0.016,0.018,0.018,0.018,0.018,NA
Somalia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.011,0.011,0.012,0.015,0.015,NA
South Africa,0.992,1.656,1.016,0.595,0.56,0.624,1.623,1.617,3.162,2.759,1.01,1.98,0.752,0.146,1.074,0.529,1.376,2.231,1.814,0.913,1.635,2.353,2.653,1.073,1.237,1.6153,3.1653,1.2163,1.5443,NA
Sudan,0.495,0.739,0.764,0.764,0.75,0.914,0.914,0.916,0.918,0.926,0.948,1.028,1.078,1.08,1.11,0.962,1.063,1.043,1.033,1.198,1.171,1.255,1.274,1.151,1.096,1.248,1.356,1.436,1.448,NA
Swaziland,0.126,0.129,0.094,0.065,0.129,0.185,0.151,0.183,0.194,0.217,0.152,0.202,0.202,0.202,0.202,0.208,0.208,0.21,0.208,0.203,0.195,0.19,0.201,0.122,0.102,0.157,0.154,0.171,0.2,NA
Tanzania,0.987,1.019,1.028,1.064,1.094,1.114,1.069,1.162,1.233,1.431,1.534,1.709,1.634,1.681,1.478,1.524,1.731,1.435,2.057,2.143,2.121,2.576,2.693,2.524,2.333,1.76,1.422,2.486,2.628,NA
Togo,0.038,0.038,0.057,0.019,0.038,0.076,0.076,0.076,0.076,0.095,0.095,0.193,0.128,0.23,0.148,0.255,0.19,0.093,0.172,0.203,0.099,0.05,0.086,0.123,0.0819,0.0749,0.0928,0.1005,0.0919,NA
Tunisia,0.023,0.029,0.039,0.03,0.066,0.108,0.051,0.112,0.047,0.034,0.044,0.104,0.064,0.063,0.04,0.041,0.07,0.072,0.075,0.094,0.085,0.076,0.092,0.195,0.194,0.1839,0.1271,0.0899,0.0751,NA
Uganda,0.633,0.513,0.555,0.513,0.612,0.628,0.64,0.612,0.581,0.678,0.761,0.768,0.973,0.958,0.997,1.035,1.107,1.24,1.255,1.258,1.551,1.546,1.668,1.752,1.888,1.839,1.16056,1.398,1.631,NA
Western Sahara,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zambia,9.01,9.676,9.913,9.93,9.783,9.852,9.695,8.353,8.291,6.702,7.731,7.715,7.663,7.666,7.668,7.792,7.043,7.807,7.464,7.635,7.673,7.814,8.021,8.174,8.375,8.794,9.746,9.703,9.569,NA
Zimbabwe,3.966,4.072,3.568,3.695,3.422,3.065,3.122,2.48,2.659,3.369,3.752,3.527,2.88,1.766,1.628,1.814,2.141,2.102,1.861,2.92,3.227,2.968,3.786,5.305,5.466,5.776,4.241,4.496,4.22,NA
Asia & Oceania,267.5724,284.7999,294.8984,314.9902,317.2413,335.7105,349.3565,343.521,385.507,408.718,423.29445,430.93785,422.56495,456.5476,468.77894,505.80745,497.44742,518.03437,546.9932,554.0201,564.30815,621.304,625.4973,656.72545,739.71393,796.98674,872.22934,874.64156,978.58152,NA
Afghanistan,0.711,0.721,0.707,0.746,0.757,0.77,0.713,0.756,0.744,0.75,0.756,0.683,0.473,0.47,0.467,0.412,0.361,0.322,0.3,0.3,0.312,0.292,0.555,0.63,0.565,0.671,0.646,0.53,0.52,NA
American Samoa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia,13.18,14.319,13.951,12.42,12.394,13.962,14.809,13.91,14.104,15.081,14.576,16.299,15.8414,17.1324,16.848,16.40875,16.58845,17.72125,16.7199,17.5711,17.3038,17.9385,17.6051,18.2466,18.3551,17.8126,19.1407,18.6474,17.7797,17.1774
Bangladesh,0.625,0.523,0.662,0.662,0.897,0.739,0.45,0.512,0.668,0.911,0.875,0.83,0.788,0.602,0.839,0.604,0.732,0.712,0.856,0.825,0.937,0.983,1.055,1.115,1.214,1.28,1.375,1.378,1.459,1.366
Bhutan,0.006,0.007,0.008,0.008,0.008,0.008,0.3,1.168,1.529,1.529,1.541,1.557,1.604,1.604,1.658,1.715,1.852,1.82,1.783,1.782,1.792,1.921,2.178,2.502,2.329,2.62,4.574,6.494,7.063,NA
Brunei,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Burma (Myanmar),0.788,0.851,0.917,0.983,1,0.993,1.031,1.013,0.926,1.133,1.181,1.228,1.503,1.688,1.598,1.608,1.634,1.669,0.94,1.028,1.873,1.804,2.21,2.228,2.384,2.967,3.291,2.994,3.988,NA
Cambodia,0.049,0.053,0.055,0.04,0.03,0.035,0.04,0.045,0.05,0.054,0.062,0.064,0.067,0.069,0.071,0.073,0.077,0.057,0.05,0.044,0.046,0.03,0.029,0.041,0.028,0.044,0.0539,0.057,0.0523,NA
China,57.618,64.845,73.656,85.536,85.932,91.476,93.555,99.198,108.009,117.216,125.14,123.861,130.202,149.219,165.722,187.723,186.5,195.309,204.871,213.154,223.098,277.7141,288.2678,284.1884,353.637,397.3305,437.4596,437.7499,537.2981,576.8825
Cook Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fiji,0,0,0,0.049,0.284,0.29,0.329,0.346,0.327,0.327,0.381,0.381,0.386,0.386,0.406,0.425,0.426,0.43,0.5,0.555,0.545,0.575,0.627,0.665,0.67,0.667,0.681,0.71,0.661,0.66
French Polynesia,0,0,0,0.016,0.024,0.032,0.035,0.035,0.058,0.064,0.069,0.074,0.09,0.094,0.096,0.125,0.133,0.133,0.151,0.087,0.116,0.105,0.131,0.121,0.151,0.13,0.147,0.163,0.17,NA
Guam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hawaiian Trade Zone,0,0,0,0,0,0,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Hong Kong,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.001,0.001,NA
India,46.54,49.56,48.31,49.87,53.405,50.508,53.311,46.996,57.297,61.517,70.969,72.084,69.271,69.863,82.081,72.342,69.081,74.859,83.198,82.203,76.604,76.829,67.777,79.783,89.9508,108.8166,122.6895,132.4604,128.0984,121.781
Indonesia,2.234,2.907,2.782,3.139,3.402,4.197,5.769,5.244,6.65,7.87,7.735,8.104,10.039,9.071,8.885,10.239,10.983,8.295,14.153,13.843,14.549,17.276,15.778,15.004,15.914,16.9468,15.8841,17.87902,19.3502,NA
Japan,88.875,87.922,90.505,94.295,84.649,94.69,93.749,88.72,105.855,107.81,100.00695,108.50795,93.95985,106.7295,79.58035,96.3146,95.87381,106.50355,109.2588,103.74535,104.447,101.8064,101.5015,115.61165,115.9754,102.8456,114.5789,102.4292,103.9902,98.8421
Kiribati,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Korea, North,10.494,10.652,10.811,10.969,11.128,12.177,12.87,13.464,14.85,14.85,15.444,14.85,14.058,13.167,13.662,14.058,12.375,10.593,10.098,10.197,10.098,10.494,10.514,11.603,12.375,13.001,12.494,13.147,13.927,NA
Korea, South,1.539,2.257,1.56,2.272,1.978,3.153,3.078,3.925,1.967,2.934,4.637,3.453,3.068,4.187,2.32934,2.97435,2.78671,3.17077,4.6148,4.50115,4.367,4.452,3.968,5.12,4.6916,4.0531,4.0192,4.5631,4.3575,4.9092
Laos,0.92,1.089,1.138,1.019,0.94,0.857,0.819,0.531,0.487,0.661,0.817,0.876,0.858,0.867,0.853,1.042,1.194,1.164,1.802,2.324,3.277,3.297,3.212,2.832,2.998,3.135,3.241,3.336,3.6798,NA
Macau,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malaysia,1.398,1.578,1.29,1.684,3.397,3.776,4.032,4.861,5.607,5.183,3.948,4.363,4.316,4.823,6.458,6.156,5.132,3.831,4.803,7.445,7.34,6.372,5.249,5.694,5.77,5.135,6.379,6.424,7.385,8.641
Maldives,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mongolia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nauru,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nepal,0.176,0.208,0.206,0.314,0.335,0.332,0.432,0.543,0.557,0.536,0.877,0.901,0.83,0.865,0.924,1.147,1.169,1.051,1.12,1.397,1.616,1.831,2.098,2.24,2.378,2.586,2.663,2.965,3.042,NA
New Caledonia,0.276,0.268,0.408,0.278,0.397,0.479,0.398,0.254,0.527,0.516,0.456,0.34,0.342,0.342,0.376,0.42,0.388,0.355,0.387,0.461,0.438,0.363,0.317,0.32,0.32303,0.336,0.285,0.386,0.44,NA
New Zealand,20.9304,20.8949,19.5724,21.0422,21.7363,20.9895,23.3775,23.582,24.774,24.149,25.6815,25.5889,23.1197,25.9337,28.23925,29.56775,28.21545,26.2088,27.1417,26.4269,27.6356,24.7573,27.8608,26.5303,30.0497,27.1542,27.648,28.1938,27.6105,30.4571
Niue,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pakistan,8.627,8.953,9.423,11.251,12.698,12.114,13.66,15.098,16.516,16.797,16.756,18.12,20.901,19.242,22.629,22.974,20.649,21.839,22.225,19.095,17.022,18.752,22.127,26.675,25.414,30.553,31.633,28.42,27.506,27.075
Papua New Guinea,0.312,0.307,0.301,0.381,0.406,0.416,0.452,0.433,0.44,0.45,0.455,0.455,0.455,0.455,0.46,0.862,0.934,0.703,0.859,0.91,0.921,0.921,0.921,0.92,0.886,0.882,0.854,0.867,0.9,NA
Philippines,5.45,6.322,7.141,6.825,9.45,10.209,10.331,9.54,10.814,11.47,11.193,10.563,9.624,10.328,11.891,11.998,13.167,12.847,13.501,17.826,18.766,16.953,16.693,17.121,18.275,17.72744,19.83334,18.23824,19.61132,19.95198
Samoa,0.007,0.007,0.012,0.012,0.016,0.017,0.02,0.018,0.018,0.02,0.02,0.02,0.025,0.025,0.025,0.026,0.03,0.033,0.038,0.043,0.035,0.048,0.062,0.054,0.05,0.05,0.051,0.052,0.048,0.049
Singapore,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
Solomon Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sri Lanka,1.464,1.556,1.591,1.204,2.069,2.37,2.617,2.154,2.57,2.773,3.114,3.085,2.871,3.758,4.048,4.407,3.219,3.413,3.876,4.131,3.176,3.091,2.679,3.29,2.945,3.4349,3.8672,3.9282,4.107,NA
Taiwan,2.905,4.77,4.758,4.967,4.41,5.941,6.069,5.454,4.626,4.814,6.317,3.815,6.49,4.068,5.011,4.791,4.696,5.736,6.949,6.043,6.132,7.087,4.829,5.594,6.28,7.136,7.4774,8.3008,8.1525,NA
Thailand,1.26,2.943,3.797,3.622,4.039,3.654,5.496,4.033,3.74,5.515,4.926,4.541,4.197,3.663,4.469,6.889,7.333,7.689,5.784,4.4216,7.43175,7.5587,9.2191,9.7825,8.5983,8.8,11.0405,12.0175,11.64,NA
Timor-Leste (East Timor),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0
Tonga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U.S. Pacific Islands,0,0,0,0,0,0.016,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.025,0.025,0.025,0.018,0.018,0.018,0.018,0.018,0.018,0.018,NA
Vanuatu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vietnam,1.188,1.287,1.337,1.386,1.46,1.51,1.584,1.658,1.767,3.758,5.331,6.264,7.156,7.866,9.123,10.476,11.888,11.54,10.984,13.636,14.405,18.028,18.016,18.796,17.489,20.854,20.204,22.292,25.726,NA
Wake Island,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
World,1753.66553,1779.20791,1832.81445,1918.14354,1985.39051,2006.45328,2051.38224,2061.46717,2140.66614,2177.22853,2269.45737,2316.45991,2336.47043,2466.92965,2498.00483,2622.27182,2665.56485,2738.18416,2755.50166,2811.32972,2859.4484,2817.61004,2885.12314,2919.31563,3121.8382,3271.31431,3416.38834,3465.59258,3654.09342,NA
